domain,n_prompts,v0.1_mean_delta,v0.2lite_mean_delta
numerical-methods-pde,2,-0.7500,+0.0000
physics-statistical-mechanics,5,-0.4500,-0.3000
chemistry-kinetics,4,-0.3750,-0.0375
physics-classical-mechanics,6,-0.3750,+0.0000
physics-electromagnetism,6,-0.3542,-0.3125
physics-condensed-matter,6,-0.3438,-0.1458
biology-population-dynamics,3,-0.2500,-0.2500
chemistry-equilibrium,3,-0.2500,-0.2500
numerical-methods-finite-difference,3,-0.2500,+0.0000
numerical-methods-ode,3,-0.2500,-0.2500
mathematics-analysis,6,-0.1833,-0.0250
biology-enzyme-kinetics,3,-0.0833,+0.0000
biology-population-genetics,3,+0.0000,-0.1500
chemistry,2,+0.0000,-0.3750
chemistry-electrochemistry,2,+0.0000,+0.0000
chemistry-stoichiometry,1,+0.0000,+0.0000
chemistry-thermodynamics,1,+0.0000,+0.0000
climate-radiative,3,+0.0000,-0.1389
climate-radiative-forcing,3,+0.0000,-0.5000
engineering-fluid-dynamics,3,+0.0000,-0.5000
engineering-solid-mechanics,3,+0.0000,+0.0000
physics-fluid-dynamics,1,+0.0000,+0.7500
physics-thermodynamics,1,+0.0000,+0.0000
