prompt_id,domain,card_ids,v0.1_control,v0.1_treatment,v0.1_delta,v0.2lite_control,v0.2lite_treatment,v0.2lite_delta,v0.2lite_treatment_severity
michaelis-menten-lineweaver-burk-py,biology-enzyme-kinetics,michaelis-menten-enzyme-kinetics,0.0000,0.0000,+0.0000,0.0000,0.0000,+0.0000,HIGH
michaelis-menten-rate-py,biology-enzyme-kinetics,michaelis-menten-enzyme-kinetics,0.2500,0.0000,-0.2500,0.0000,0.0000,+0.0000,HIGH
michaelis-menten-vmax-from-data-py,biology-enzyme-kinetics,michaelis-menten-enzyme-kinetics,0.7500,0.7500,+0.0000,0.7500,0.7500,+0.0000,LOW
lotka-volterra-fixed-point-py,biology-population-dynamics,lotka-volterra-predator-prey,0.7500,0.7500,+0.0000,0.7500,0.7500,+0.0000,LOW
lotka-volterra-rhs-py,biology-population-dynamics,lotka-volterra-predator-prey,0.7500,0.0000,-0.7500,0.7500,0.7500,+0.0000,LOW
lotka-volterra-small-amplitude-period-py,biology-population-dynamics,lotka-volterra-predator-prey,0.0000,0.0000,+0.0000,0.7500,0.0000,-0.7500,HIGH
allele-frequency-from-genotypes-py,biology-population-genetics,hardy-weinberg-equilibrium,0.0000,0.7500,+0.7500,0.7500,0.3000,-0.4500,MEDIUM
hardy-weinberg-chi-square-py,biology-population-genetics,hardy-weinberg-equilibrium,0.7500,0.0000,-0.7500,0.7500,0.7500,+0.0000,LOW
hardy-weinberg-py,biology-population-genetics,hardy-weinberg-equilibrium,0.7500,0.7500,+0.0000,0.7500,0.7500,+0.0000,LOW
ideal-gas-density-py,chemistry,ideal-gas-law,0.7500,0.7500,+0.0000,0.7500,0.0000,-0.7500,HIGH
ideal-gas-volume-py,chemistry,ideal-gas-law,0.7500,0.7500,+0.0000,0.7500,0.7500,+0.0000,LOW
nernst-equation-py,chemistry-electrochemistry,nernst-equation,0.0000,0.0000,+0.0000,0.0000,0.7500,+0.7500,LOW
nernst-half-cell-temperature-py,chemistry-electrochemistry,nernst-equation,0.0000,0.0000,+0.0000,0.7500,0.0000,-0.7500,HIGH
henderson-buffer-capacity-py,chemistry-equilibrium,henderson-hasselbalch-equation,0.7500,0.0000,-0.7500,0.0000,0.0000,+0.0000,HIGH
henderson-hasselbalch-py,chemistry-equilibrium,henderson-hasselbalch-equation,0.0000,0.0000,+0.0000,0.7500,0.0000,-0.7500,HIGH
henderson-hasselbalch-ratio-py,chemistry-equilibrium,henderson-hasselbalch-equation,0.7500,0.7500,+0.0000,0.7500,0.7500,+0.0000,LOW
arrhenius-half-life-temperature-py,chemistry-kinetics,arrhenius-rate-law,0.7500,0.7500,+0.0000,0.0000,0.0000,+0.0000,HIGH
arrhenius-rate-py,chemistry-kinetics,arrhenius-rate-law,0.7500,0.0000,-0.7500,0.7500,0.7500,+0.0000,LOW
arrhenius-temperature-from-k-py,chemistry-kinetics,arrhenius-rate-law,0.7500,0.7500,+0.0000,0.7500,0.6000,-0.1500,LOW
eyring-vs-arrhenius-py,chemistry-kinetics,arrhenius-rate-law,0.7500,0.0000,-0.7500,0.7500,0.7500,+0.0000,LOW
stoichiometry-water-yield-py,chemistry-stoichiometry,stoichiometry-mass-balance,0.7500,0.7500,+0.0000,0.7500,0.7500,+0.0000,LOW
ideal-gas-pressure-py,chemistry-thermodynamics,ideal-gas-law,0.7500,0.7500,+0.0000,0.7500,0.7500,+0.0000,LOW
stefan-boltzmann-earth-temperature-py,climate-radiative,stefan-boltzmann-radiation,0.7500,0.7500,+0.0000,0.7500,0.7500,+0.0000,LOW
stefan-boltzmann-equilibrium-py,climate-radiative,stefan-boltzmann-radiation,0.0000,0.0000,+0.0000,0.7500,0.3333,-0.4167,MEDIUM
stefan-boltzmann-power-py,climate-radiative,stefan-boltzmann-radiation,0.7500,0.7500,+0.0000,0.7500,0.7500,+0.0000,LOW
co2-from-forcing-py,climate-radiative-forcing,co2-greenhouse-forcing,0.7500,0.7500,+0.0000,0.7500,0.7500,+0.0000,LOW
co2-radiative-forcing-doubling-py,climate-radiative-forcing,co2-greenhouse-forcing,0.0000,0.0000,+0.0000,0.7500,0.0000,-0.7500,HIGH
co2-radiative-forcing-py,climate-radiative-forcing,co2-greenhouse-forcing,0.0000,0.0000,+0.0000,0.7500,0.0000,-0.7500,HIGH
reynolds-number-py,engineering-fluid-dynamics,reynolds-number-similarity,0.7500,0.7500,+0.0000,0.7500,0.7500,+0.0000,LOW
reynolds-pipe-transition-diameter-py,engineering-fluid-dynamics,reynolds-number-similarity,0.7500,0.7500,+0.0000,0.7500,0.0000,-0.7500,HIGH
reynolds-regime-py,engineering-fluid-dynamics,reynolds-number-similarity,0.7500,0.7500,+0.0000,0.7500,0.0000,-0.7500,HIGH
hookes-law-strain-energy-py,engineering-solid-mechanics,hookes-law-stress-strain,0.7500,0.7500,+0.0000,0.7500,0.7500,+0.0000,LOW
hookes-law-strain-from-stress-py,engineering-solid-mechanics,hookes-law-stress-strain,0.7500,0.7500,+0.0000,0.7500,0.7500,+0.0000,LOW
hookes-law-stress-py,engineering-solid-mechanics,hookes-law-stress-strain,0.0000,0.0000,+0.0000,0.7500,0.7500,+0.0000,LOW
cauchy-schwarz-ratio-py,mathematics-analysis,cauchy-schwarz-inequality,0.7500,0.4000,-0.3500,0.4000,0.7500,+0.3500,LOW
cauchy-schwarz-tightness-py,mathematics-analysis,cauchy-schwarz-inequality,0.7500,0.7500,+0.0000,0.7500,0.0000,-0.7500,HIGH
mean-value-secant-slope-py,mathematics-analysis,mean-value-theorem,0.7500,0.0000,-0.7500,0.7500,0.7500,+0.0000,LOW
