prompt_id,domain,language,card_ids,n_test_cases
michaelis-menten-lineweaver-burk-py,biology-enzyme-kinetics,python,michaelis-menten-enzyme-kinetics,6
michaelis-menten-rate-py,biology-enzyme-kinetics,python,michaelis-menten-enzyme-kinetics,3
michaelis-menten-vmax-from-data-py,biology-enzyme-kinetics,python,michaelis-menten-enzyme-kinetics,4
lotka-volterra-fixed-point-py,biology-population-dynamics,python,lotka-volterra-predator-prey,4
lotka-volterra-rhs-py,biology-population-dynamics,python,lotka-volterra-predator-prey,4
lotka-volterra-small-amplitude-period-py,biology-population-dynamics,python,lotka-volterra-predator-prey,6
allele-frequency-from-genotypes-py,biology-population-genetics,python,hardy-weinberg-equilibrium,5
hardy-weinberg-chi-square-py,biology-population-genetics,python,hardy-weinberg-equilibrium,6
hardy-weinberg-py,biology-population-genetics,python,hardy-weinberg-equilibrium,4
ideal-gas-density-py,chemistry,python,ideal-gas-law,4
ideal-gas-volume-py,chemistry,python,ideal-gas-law,4
nernst-equation-py,chemistry-electrochemistry,python,nernst-equation,5
nernst-half-cell-temperature-py,chemistry-electrochemistry,python,nernst-equation,6
henderson-buffer-capacity-py,chemistry-equilibrium,python,henderson-hasselbalch-equation,6
henderson-hasselbalch-py,chemistry-equilibrium,python,henderson-hasselbalch-equation,4
henderson-hasselbalch-ratio-py,chemistry-equilibrium,python,henderson-hasselbalch-equation,4
arrhenius-half-life-temperature-py,chemistry-kinetics,python,arrhenius-rate-law,5
arrhenius-rate-py,chemistry-kinetics,python,arrhenius-rate-law,5
arrhenius-temperature-from-k-py,chemistry-kinetics,python,arrhenius-rate-law,5
eyring-vs-arrhenius-py,chemistry-kinetics,python,arrhenius-rate-law,5
stoichiometry-water-yield-py,chemistry-stoichiometry,python,stoichiometry-mass-balance,5
ideal-gas-pressure-py,chemistry-thermodynamics,python,ideal-gas-law,3
stefan-boltzmann-earth-temperature-py,climate-radiative,python,stefan-boltzmann-radiation,6
stefan-boltzmann-equilibrium-py,climate-radiative,python,stefan-boltzmann-radiation,3
stefan-boltzmann-power-py,climate-radiative,python,stefan-boltzmann-radiation,5
co2-from-forcing-py,climate-radiative-forcing,python,co2-greenhouse-forcing,5
co2-radiative-forcing-doubling-py,climate-radiative-forcing,python,co2-greenhouse-forcing,6
co2-radiative-forcing-py,climate-radiative-forcing,python,co2-greenhouse-forcing,5
reynolds-number-py,engineering-fluid-dynamics,python,reynolds-number-similarity,5
reynolds-pipe-transition-diameter-py,engineering-fluid-dynamics,python,reynolds-number-similarity,6
reynolds-regime-py,engineering-fluid-dynamics,python,reynolds-number-similarity,6
hookes-law-strain-energy-py,engineering-solid-mechanics,python,hookes-law-stress-strain,5
hookes-law-strain-from-stress-py,engineering-solid-mechanics,python,hookes-law-stress-strain,5
hookes-law-stress-py,engineering-solid-mechanics,python,hookes-law-stress-strain,5
cauchy-schwarz-ratio-py,mathematics-analysis,python,cauchy-schwarz-inequality,5
cauchy-schwarz-tightness-py,mathematics-analysis,python,cauchy-schwarz-inequality,6
mean-value-secant-slope-py,mathematics-analysis,python,mean-value-theorem,4
mvt-find-c-quadratic-py,mathematics-analysis,python,mean-value-theorem,4
triangle-inequality-py,mathematics-analysis,python,triangle-inequality,5
vector-triangle-inequality-py,mathematics-analysis,python,triangle-inequality,4
central-second-derivative-py,numerical-methods-finite-difference,python,finite-difference-truncation-error,5
forward-first-derivative-py,numerical-methods-finite-difference,python,finite-difference-truncation-error,4
richardson-2nd-derivative-py,numerical-methods-finite-difference,python,finite-difference-truncation-error,6
rk4-integrate-exp-decay-py,numerical-methods-ode,python,runge-kutta-4,5
rk4-vs-euler-convergence-order-py,numerical-methods-ode,python,runge-kutta-4,6
runge-kutta-4-step-py,numerical-methods-ode,python,runge-kutta-4,5
cfl-1d-advection-max-dt-py,numerical-methods-pde,python,cfl-stability-condition,7
cfl-step-size-py,numerical-methods-pde,python,cfl-stability-condition,3
damped-oscillator-q-factor-py,physics-classical-mechanics,python,simple-harmonic-oscillator,6
free-fall-max-height-py,physics-classical-mechanics,python,free-fall-uniform-gravity,5
free-fall-trajectory-py,physics-classical-mechanics,python,free-fall-uniform-gravity,2
momentum-inelastic-collision-py,physics-classical-mechanics,python,conservation-of-momentum,4
sho-period-py,physics-classical-mechanics,python,simple-harmonic-oscillator,5
simple-harmonic-oscillator-py,physics-classical-mechanics,python,simple-harmonic-oscillator,5
bloch-cosine-band-group-velocity-py,physics-condensed-matter,python,bloch-theorem,6
bloch-group-velocity-py,physics-condensed-matter,python,bloch-theorem,4
effective-mass-tight-binding-py,physics-condensed-matter,python,bloch-theorem,4
fermi-energy-3d-free-electron-py,physics-condensed-matter,python,density-of-states,6
lda-exchange-energy-uniform-py,physics-condensed-matter,python,lda-exchange-correlation,6
lindhard-static-1d-py,physics-condensed-matter,python,lindhard-susceptibility,5
coulomb-3body-equilibrium-py,physics-electromagnetism,python,coulombs-law-point-charges,6
coulomb-potential-energy-py,physics-electromagnetism,python,coulombs-law-point-charges,4
coulombs-law-force-py,physics-electromagnetism,python,coulombs-law-point-charges,4
faraday-emf-py,physics-electromagnetism,python,faraday-law-induction,5
gauss-flux-off-center-sphere-py,physics-electromagnetism,python,gauss-law-electricity,6
gauss-law-sphere-field-py,physics-electromagnetism,python,gauss-law-electricity,4
continuity-flow-rate-py,physics-fluid-dynamics,python,continuity-equation,4
boltzmann-entropy-change-py,physics-statistical-mechanics,python,boltzmann-entropy,4
boltzmann-entropy-mixing-py,physics-statistical-mechanics,python,boltzmann-entropy,6
boltzmann-entropy-py,physics-statistical-mechanics,python,boltzmann-entropy,4
gas-rms-vs-mean-vs-most-probable-py,physics-statistical-mechanics,python,maxwell-boltzmann-speed-distribution,5
maxwell-boltzmann-mean-speed-py,physics-statistical-mechanics,python,maxwell-boltzmann-speed-distribution,5
first-law-thermodynamics-py,physics-thermodynamics,python,first-law-of-thermodynamics,3
